series,episode,first_name,last_name,baker_age,hometown,technical,result,signature_bake,show_stopper,baker_occupation
5,6,Martha,Collison,17,"Ascot, Berkshire",4,IN,Dark Chocolate and Almond Liqueur Savarin,Chess-Themed Chocolate and Salted Caramel Dobos Torte,Student
5,6,Nancy,Birtwhistle,60,"Barton-upon-Humber, Lincolnshire",1,IN,Rum Punch Savarin with Coconut Cream and Tropical Fruits,Chocolate and Caramel Dobos Torte,Retired Practice Manager
5,6,Richard,Burr,38,"Mill Hill, London",5,IN,Fruity Guglhupf with an Orange Glaze,Sugar Forest Dobos Torte,Builder
5,7,Chetna,Makan,35,"Broadstairs, Kent",6,IN,Crispy Lentil Kachori,Chocolate and Mango & Lemon Meringue Éclairs,Fashion Designer
5,7,Kate,Henry,41,"Brighton, East Sussex",4,OUT,Spinach and Paneer Spicy Samosa,Neapolitan & Lemon Meringue Éclairs,Furniture Restorer
5,7,Luis,Troyano,42,"Poynton, Cheshire",5,IN,Childhood Empanadas,"Stars and Stripes Éclairs
(Blueberry Cheesecake & Peanut Butter and Jelly Éclairs)",Graphic Designer
5,7,Martha,Collison,17,"Ascot, Berkshire",3,IN,Mini Beef Wellingtons,Rhubarb and Custard & Maple Syrup and Bacon Éclairs,Student
5,7,Nancy,Birtwhistle,60,"Barton-upon-Humber, Lincolnshire",2,IN,Spicy Duck Pasties,Smoked Salmon and Horseradish & Raspberry Ripple Éclairs,Retired Practice Manager
5,7,Richard,Burr,38,"Mill Hill, London",1,STAR BAKER,Minted Lamb Pasties,"Stair of Éclairs
(Lavender and Blueberry & Rose and Raspberry Éclairs)",Builder
5,8,Chetna,Makan,35,"Broadstairs, Kent",1,IN,Date and Walnut Swirl Bread,Chocolate Mousse Filled DoughnutsBraided Doughnuts,Fashion Designer
5,8,Luis,Troyano,42,"Poynton, Cheshire",2,IN,Black Forest Cherry Tree,"Cocktail Doughnuts
(Mudslide & Raspberry Mojito)",Graphic Designer
5,8,Martha,Collison,17,"Ascot, Berkshire",5,OUT,Spiced Plum Iced Bread Swirl,Glazed Lemon & Poppy Seed DoughnutsChocolate & Passion Fruit Doughnuts,Student
5,8,Nancy,Birtwhistle,60,"Barton-upon-Humber, Lincolnshire",3,IN,Lincolnshire Plum Braid,"Doughnut Family Tree
(Limoncello and Almond & Milk Chocolate and Orange)",Retired Practice Manager
5,8,Richard,Burr,38,"Mill Hill, London",4,STAR BAKER,Fruit Swedish Tea Ring,Rhubarb and Custard and Toffee Apple Doughnuts,Builder
5,9,Chetna,Makan,35,"Broadstairs, Kent",4,OUT,Chocolate Orange Baklava Masala Chai Baklava,"Chocolate, Orange & Nut EntremetsCappuccino Entremets",Fashion Designer
5,9,Luis,Troyano,42,"Poynton, Cheshire",1,IN,Indian Rose BaklavaHalwa Baklava Rolls,"Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges",Graphic Designer
5,9,Nancy,Birtwhistle,60,"Barton-upon-Humber, Lincolnshire",3,IN,Coffee and Chocolate BaklavaBreakfast Baklava,Raspberry NonnettesLime and Passion Fruit Entremets,Retired Practice Manager
5,9,Richard,Burr,38,"Mill Hill, London",2,STAR BAKER,Rose and Pistachio BaklavaWalnut and Almond Baklava,Hazelnut Mocha EntremetsPink Grapefruit Entremets,Builder
5,10,Luis,Troyano,42,"Poynton, Cheshire",2,Runner-up,"Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese",Village in Chocolate,Graphic Designer
5,10,Nancy,Birtwhistle,60,"Barton-upon-Humber, Lincolnshire",1,WINNER,Apple and Lemon KitesRaspberry and Almond Croissants,Red Windmill,Retired Practice Manager
5,10,Richard,Burr,38,"Mill Hill, London",3,Runner-up,Pear Pain au ChocolatPain Au Lait,Mill on the Hill,Builder
6,1,Alvin,Magallanes,37,"Bracknell, Berkshire",2,IN,Orange Vanilla and Fig Madeira Cake,Black Forest Gâteau,Nurse
6,1,Dorret,Conway,53,"Penwortham, Lancashire",5,IN,Madeira Cake with Candied Lemons,Enchanted Forest Gâteau,Accountant
6,1,Flora,Shedden,19,"Dunkeld, Perth and Kinross",6,IN,Blood Orange Madeira Cake,Black Forest Gâteau,Art gallery assistant
6,1,Ian,Cumming,41,"Great Wilbraham, Cambridgeshire",8,IN,Somewhere West of Madeira Cake,Black Forest Cherry Tree,Travel photographer
6,1,Marie,Campbell,66,"Auchterarder, Perthshire",3,STAR BAKER,Zingy Citrus Madeira Cake,A Walk in the Black Forest,Retired
6,1,Mat,Riley,37,London,7,IN,Gin and Tonic Madeira Cake,Black Forest Gateau,Fire fighter
6,1,Nadiya,Hussain,30,Leeds / Luton,12,IN,Orange and Green Cardamom Madeira Cake,Quadruple Chocolate Black Forest Gâteau,Full-time mother
6,1,Paul,Jagger,49,"Swansea, Wales",10,IN,"Lemon, Ginger and Caraway Seed Madeira Cake",Black Forest Chocolate Creation,Prison governor
6,1,Sandy,Docherty,49,"Yeadon, West Yorkshire",9,IN,Madeira Cake with Almond Liqueur and Chopped Apricots,Black Forest Gâteau,Child welfare officer
6,1,Stu,Henshall,35,"Guildford, Surrey",11,OUT,Marley Madeira Cake,Purple Forest Gâteau,Professional musician
6,1,Tamal,Ray,29,Manchester,4,IN,Pistachio and Rose Madeira Cake,Black Forest Gâteau in a Chocolate Shell,Trainee anaesthetist
6,1,Ugnė,Bubnaityte,32,"Woodford, London / Vilkaviškis, Lithuania",1,IN,Lemon and Thyme Madeira Cake,Falling Cup Gâteau,PA and administrator
6,2,Alvin,Magallanes,37,"Bracknell, Berkshire",6,IN,"Jackfruit, Pistachio and Macadamia Biscotti",Gingerbread Box filled with Brandy Snaps,Nurse
6,2,Dorret,Conway,53,"Penwortham, Lancashire",1,IN,Almond and Apricot Biscotti with Amber Sugar Crystals,Box of Frogs,Accountant
6,2,Flora,Shedden,19,"Dunkeld, Perth and Kinross",2,IN,Wedding Biscotti,Honey and Earl Grey Tea Box,Art gallery assistant
6,2,Ian,Cumming,41,"Great Wilbraham, Cambridgeshire",3,STAR BAKER,"Orange, Rosemary and Almond Biscotti",Sandwich de la Confiture,Travel photographer
6,2,Marie,Campbell,66,"Auchterarder, Perthshire",11,OUT,Biscotti Italiano,Russian Box,Retired
6,2,Mat,Riley,37,London,5,IN,"Pistachio, Cranberry and White Chocolate Biscotti",Gingerbread Fire Engine,Fire fighter
6,2,Nadiya,Hussain,30,Leeds / Luton,9,IN,"Coconut, Fennel and Pistachio Biscotti",Box of Fortunes,Full-time mother
6,2,Paul,Jagger,49,"Swansea, Wales",10,IN,"Chocolate, Hazelnut and Fig Biscotti",Memory Box,Prison governor
6,2,Sandy,Docherty,49,"Yeadon, West Yorkshire",4,IN,Chocolate Chunk and Hazelnut Biscotti,Sundried Tomato Cheese Biscuit Box,Child welfare officer
6,2,Tamal,Ray,29,Manchester,8,IN,"Cinnamon, Maple and Cranberry Biscotti",Chessboard Box,Trainee anaesthetist
6,2,Ugnė,Bubnaityte,32,"Woodford, London / Vilkaviškis, Lithuania",7,IN,White Wine Biscotti,Baby Climbing into the Cookie Box,PA and administrator
6,3,Alvin,Magallanes,37,"Bracknell, Berkshire",4,IN,"Prosciutto, Manchego and Balsamic Onion Soda Breads",Cornucopia,Nurse
6,3,Dorret,Conway,53,"Penwortham, Lancashire",6,OUT,Walnut and Stilton Soda Breads,Unmade Bread,Accountant
6,3,Flora,Shedden,19,"Dunkeld, Perth and Kinross",2,IN,Fig and Hazelnut Rye Breads,Herb Couture,Art gallery assistant
6,3,Ian,Cumming,41,"Great Wilbraham, Cambridgeshire",1,STAR BAKER,Wild Garlic Pesto Soda Breads,Flour Power,Travel photographer
6,3,Mat,Riley,37,London,8,IN,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads",Curry Inspired Brighton Pavilion,Fire fighter
6,3,Nadiya,Hussain,30,Leeds / Luton,9,IN,Mexican Bread with Warm Tomato Salsa,Snake Charmer's Basket,Full-time mother
6,3,Paul,Jagger,49,"Swansea, Wales",10,IN,Cranberry and Orange Sweet Soda Breads,King of the Jungle,Prison governor
6,3,Sandy,Docherty,49,"Yeadon, West Yorkshire",7,IN,Soda Breads with Smoked Bacon and Onion,Basket of Bread Flowers with a Walnut and Blue Cheese Centre,Child welfare officer
6,3,Tamal,Ray,29,Manchester,3,IN,"Fig, Cheese and Walnut Breads",Breadcycle,Trainee anaesthetist
6,3,Ugnė,Bubnaityte,32,"Woodford, London / Vilkaviškis, Lithuania",5,IN,Chocolate Quick Breads with Salted Caramel Sauce,Easter Basket,PA and administrator
6,4,Alvin,Magallanes,37,"Bracknell, Berkshire",9,IN,Blackberry Crème Brûlées,Tower of Fruits Cheesecakes,Nurse
6,4,Flora,Shedden,19,"Dunkeld, Perth and Kinross",3,IN,Rhubarb and Ginger Crème Brûlées,Elderflower and Granola Cheesecakes,Art gallery assistant
6,4,Ian,Cumming,41,"Great Wilbraham, Cambridgeshire",4,STAR BAKER,Pomegranate Two Ways Crème Brûlées,Trio of Spicy and Herby Baked Cheesecakes,Travel photographer
6,4,Mat,Riley,37,London,7,IN,Coconut Crème Brûlées,Chocolate Bar Cheesecakes,Fire fighter
6,4,Nadiya,Hussain,30,Leeds / Luton,8,IN,Cinnamon Tea Crème Brûlées,Fizzy Pop Cheesecakes,Full-time mother
6,4,Paul,Jagger,49,"Swansea, Wales",1,IN,Almond Crème Brûlées,Berry Cheesecake Tower,Prison governor
6,4,Sandy,Docherty,49,"Yeadon, West Yorkshire",6,OUT,Pontefract Crème Brûlées,"Cassata, Whisky and Orange & Apple Pie Cheesecakes",Child welfare officer
6,4,Tamal,Ray,29,Manchester,5,IN,Rhubarb and Ginger Crème Brûlées,"Mango, Hazelnut and Rosemary Cheesecake Trio",Trainee anaesthetist
6,4,Ugnė,Bubnaityte,32,"Woodford, London / Vilkaviškis, Lithuania",2,IN,Marula Fruit and Coffee Liqueur Crème Brûlées,"Lime, Coconut and Hazelnut Cheesecakes",PA and administrator
6,5,Alvin,Magallanes,37,"Bracknell, Berkshire",8,IN,Pineapple Upside Down Cake,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll",Nurse
6,5,Flora,Shedden,19,"Dunkeld, Perth and Kinross",3,IN,"Pistachio, Apple and Cardamom Madeleine Cake",Chocolate and Pear Bûche,Art gallery assistant
6,5,Ian,Cumming,41,"Great Wilbraham, Cambridgeshire",5,IN,Honey and Flowers Cake,Dessert Island,Travel photographer
6,5,Mat,Riley,37,London,4,IN,Sugar Free Carrot Cake,Raspberry and Coconut Ice Cream Roll,Fire fighter
6,5,Nadiya,Hussain,30,Leeds / Luton,1,STAR BAKER,Naked Blueberry and Caraway Crunch Cake,Chocolate and Strawberry Lime Ice Cream Roll,Full-time mother
6,5,Paul,Jagger,49,"Swansea, Wales",2,IN,Carrot & Pecan Cake,Dessert Island Getaway,Prison governor
6,5,Tamal,Ray,29,Manchester,7,IN,Honey and Grapefruit Polenta Cake,Passion Fruit and Pineapple Ice Cream Roll,Trainee anaesthetist
6,5,Ugnė,Bubnaityte,32,"Woodford, London / Vilkaviškis, Lithuania",6,OUT,Chocolate and Hazelnut Sugar-Free Cake,"Chocolate, Peanut Butter and Grape Jam Roll",PA and administrator
6,6,Alvin,Magallanes,37,"Bracknell, Berkshire",6,OUT,Plum Frangipane Tart,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents,Nurse
6,6,Flora,Shedden,19,"Dunkeld, Perth and Kinross",2,IN,Apricot and Rosemary Frangipane Tart,Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents,Art gallery assistant
6,6,Ian,Cumming,41,"Great Wilbraham, Cambridgeshire",3,IN,Pear and Raspberry Frangipane Tart,vol-au-vents Terre et Mer,Travel photographer
6,6,Mat,Riley,37,London,1,STAR BAKER,Piña Colada Frangipane Tart,His 'n' Hers Vol-au-vents,Fire fighter
6,6,Nadiya,Hussain,30,Leeds / Luton,4,IN,"Bay Leaf, Rong Tea and Pear Tart",Bengali Korma and Clementine with Cod Vol-au-vents,Full-time mother
6,6,Paul,Jagger,49,"Swansea, Wales",5,IN,Christmas Frangipane Tart,Savoury and Sweet Bouchées,Prison governor
6,6,Tamal,Ray,29,Manchester,7,IN,Spiced Pear Frangipane Tart,Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents,Trainee anaesthetist
6,7,Flora,Shedden,19,"Dunkeld, Perth and Kinross",4,IN,Game Pie with Shallot and Apple Chutney,"Raspberry, Pomegranate and Champagne Charlotte Russe",Art gallery assistant
6,7,Ian,Cumming,41,"Great Wilbraham, Cambridgeshire",5,IN,Roadkill Pie,Victoria's Crown Charlotte Russe,Travel photographer
6,7,Mat,Riley,37,London,6,OUT,Raised Venison and Pigeon Pie,Strawberry Charlotte Russe,Fire fighter
6,7,Nadiya,Hussain,30,Leeds / Luton,1,IN,Aromatic Raised Game Pie,Mango and Raspberry Charlotte Russe,Full-time mother
6,7,Paul,Jagger,49,"Swansea, Wales",2,IN,Not a Boaring Pie,Charlotte Rose,Prison governor
6,7,Tamal,Ray,29,Manchester,3,STAR BAKER,Middle Eastern Game Pie,"Spiced Blackberry, Raspberry and Cardamom Charlotte Russe",Trainee anaesthetist
6,8,Flora,Shedden,19,"Dunkeld, Perth and Kinross",3,IN,Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns,Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne,Art gallery assistant
6,8,Ian,Cumming,41,"Great Wilbraham, Cambridgeshire",2,IN,Mont Blanc & Black Forest Gâteau Horns,Nun with Hidden Passions,Travel photographer
6,8,Nadiya,Hussain,30,Leeds / Luton,1,STAR BAKER,Rose Pistachio and Mocha Hazelnut Horns,Bubble Gum and Peppermint Cream Religieuse à l'ancienne,Full-time mother
6,8,Paul,Jagger,49,"Swansea, Wales",5,OUT,Café Tipple & Banana Crunch-away Horns,Religieuse à l'ancienne,Prison governor
6,8,Tamal,Ray,29,Manchester,4,IN,Lime & Mascarpone and Malt Cream Horns,Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne,Trainee anaesthetist
6,9,Flora,Shedden,19,"Dunkeld, Perth and Kinross",1,OUT,Passion Fruit and Chocolate Tart,Cocoa Carousel,Art gallery assistant
6,9,Ian,Cumming,41,"Great Wilbraham, Cambridgeshire",3,IN,Chocolate and Bay Tart,Chocolate Well,Travel photographer
6,9,Nadiya,Hussain,30,Leeds / Luton,4,STAR BAKER,Peanut Salted Caramel and Chocolate Tart,Peacock in Nan's Door,Full-time mother
6,9,Tamal,Ray,29,Manchester,2,IN,Chocolate New York Pie,Chocolate Bell Tower,Trainee anaesthetist
6,10,Ian,Cumming,41,"Great Wilbraham, Cambridgeshire",2,Runner-up,Elderflower and Lemon & Spiced Buns,Colossal Curvy Carrot Cake,Travel photographer
6,10,Nadiya,Hussain,30,Leeds / Luton,1,WINNER,Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers,My Big Fat British Wedding Cake,Full-time mother
6,10,Tamal,Ray,29,Manchester,3,Runner-up,Cinnamon and Apple & Toffee and Marmalade Iced Buns,Sticky Toffee Pudding Cake,Trainee anaesthetist
7,1,Andrew,Smyth,25,"Derby / Holywood, County Down",12,IN,Lemon and Rosemary Drizzle Cake,'Ultimate Indulgence' Mirror Glaze Cake,Aerospace engineer
7,1,Benjamina,Ebuehi,23,South London,6,IN,"Pistachio, Cardamom and Lemon Drizzle Cake",White Chocolate Mirror Glaze with Salted Praline Buttercream,Teaching assistant
7,1,Candice,Brown,31,"Barton-Le-Clay, Bedfordshire",5,IN,Raspberry and Rhubarb Drizzle Custard Bundt Cake,"Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?",PE teacher
7,1,Jane,Beedle,61,Beckenham,7,STAR BAKER,Lemon and Poppy Seed Drizzle Cake,Chocolate Orange Mirror Cake,Garden designer
7,1,Kate,Barmby,37,"Brooke, Norfolk",4,IN,Berry Best Apple and Bramble Drizzle Cake,One Swallow Does Not Make A Summer Cake,Nurse
7,1,Lee,Banfield,67,Bolton,11,OUT,St. Clements Orange and Lemon Drizzle Cake,Strawberry Surprise Mirror Cake,Pastor
7,1,Louise,Williams,46,Cardiff,9,IN,Orange Liqueur and Lemonade Drizzle Cake,White Chocolate Trifle Mirror Glaze Cake,Hairdresser
7,1,Michael,Georgiou,20,Durham,3,IN,"Lime, Ginger and Honey Drizzle Cake",Matcha Tea Chocolate Mirror Glaze,Student
7,1,Rav,Bansal,28,Erith,8,IN,Ginger Spice Yuzu Drizzle Cake,Colombian Mocha Mirror Glaze Cake,Student support
7,1,Selasi,Gbormittah,30,London,1,IN,Citrus and Spice Drizzle Cake,"Raspberry, Sloe and White Chocolate Mirror Glaze Cake",Client service associate
7,1,Tom,Gilliford,26,Rochdale,2,IN,G&T Drizzle Cake,Black Forest Broken Mirror,Project engagement manager
7,1,Val,Stones,66,Yeovil,10,IN,Mum's Orange and Lemon Drizzle,Chocolate Sponge with Four Fruit Frosting,"Semi-retired, Substitute teacher"
7,2,Andrew,Smyth,25,"Derby / Holywood, County Down",4,IN,Beehive Biscuits,Punting in Cambridge,Aerospace engineer
7,2,Benjamina,Ebuehi,23,South London,3,IN,Bouquet Biscuits,"New York, New York",Teaching assistant
7,2,Candice,Brown,31,"Barton-Le-Clay, Bedfordshire",8,STAR BAKER,"Salted Caramel, Chocolate Iced Shiny Hearts",Gingerbread Pub with Sticky Ginger Carpet,PE teacher
7,2,Jane,Beedle,61,Beckenham,2,IN,Flower Pot Iced Biscuits,Hastings Old Town Fishing Net Shops and Boat,Garden designer
7,2,Kate,Barmby,37,"Brooke, Norfolk",1,IN,"""A Biscuit for the Broads""","""I Promise I will do my best""",Nurse
7,2,Louise,Williams,46,Cardiff,10,OUT,Baa Bara Brith Biscuits,Gingerbread Wedding,Hairdresser
7,2,Michael,Georgiou,20,Durham,9,IN,"Malt, Chocolate and Orange Iced ""Beer"" Biscuits",Trip to See Santa in Lapland,Student
7,2,Rav,Bansal,28,Erith,6,IN,Union Jack Bunting Biscuits,Gingerbread Christmas Fairground,Student support
7,2,Selasi,Gbormittah,30,London,11,IN,"""Wheelie Hot Iced Biscuits""",Stained Glass Window Gingerbread Church,Client service associate
7,2,Tom,Gilliford,26,Rochdale,7,IN,Chai Frappelatteccino Biscuits,Tom and Pod's Near Death Experience,Project engagement manager
7,2,Val,Stones,66,Yeovil,5,IN,Sunday Treat Iced Ice Cream Cone Biscuits,From Holland to New York via Yorkshire,"Semi-retired, Substitute teacher"
7,3,Andrew,Smyth,25,"Derby / Holywood, County Down",2,IN,Chocolate Barmbrack Bread,Braided Harvest Bread Basket,Aerospace engineer
7,3,Benjamina,Ebuehi,23,South London,6,IN,"Chocolate, Tahini and Almond Babka",Braided Bread Heart,Teaching assistant
7,3,Candice,Brown,31,"Barton-Le-Clay, Bedfordshire",3,IN,"Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf",Italian Light and Dark Rye Twist,PE teacher
7,3,Jane,Beedle,61,Beckenham,9,IN,Chocolate and Cranberry Couronne,Chorizo and Chilli Flower with Parmesan and Pesto Centre,Garden designer
7,3,Kate,Barmby,37,"Brooke, Norfolk",8,IN,Cobbled Loaf,The Corn Maiden,Nurse
7,3,Michael,Georgiou,20,Durham,7,OUT,Chocolate and Chilli Swirl Plait,Cypriot Dove and Olive Branch Plaited Loaf with Houmous,Student
7,3,Rav,Bansal,28,Erith,10,IN,"Chocolate, Cardamom and Hazelnut Loaf",Three Tier Diwali Bread Centrepiece,Student support
7,3,Selasi,Gbormittah,30,London,5,IN,"Chocolate, Orange and Cinnamon Bread",Bedouin Escape Tear and Share Bread,Client service associate
7,3,Tom,Gilliford,26,Rochdale,4,STAR BAKER,Chocolate Orange and Chilli Swirl Bread,Jörmungandr and Mjölnir,Project engagement manager
7,3,Val,Stones,66,Yeovil,1,IN,Double Chocolate Cinnamon Twist Loaf,"""And They All Went Into The Ark To Get Out Of The Rain""","Semi-retired, Substitute teacher"
7,4,Andrew,Smyth,25,"Derby / Holywood, County Down",4,IN,Yorkshire 'Tapas' Puddings,Churros Window Box,Aerospace engineer
7,4,Benjamina,Ebuehi,23,South London,1,STAR BAKER,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings",Tropical Churros,Teaching assistant
7,4,Candice,Brown,31,"Barton-Le-Clay, Bedfordshire",2,IN,Yorkshire Wellingtons,Two-Way Peanut Butter Churros,PE teacher
7,4,Jane,Beedle,61,Beckenham,3,IN,Meat and Two Veg Yorkshires,Pistachio and White Chocolate Churros,Garden designer
7,4,Kate,Barmby,37,"Brooke, Norfolk",7,OUT,Christmas Dinner Compromise,Hot Cross Bunny Churros,Nurse
7,4,Rav,Bansal,28,Erith,9,IN,Thai Tofu Panang Yorkshires,Three Dip Matcha Pistachio Churros,Student support
7,4,Selasi,Gbormittah,30,London,8,IN,Perfect Sunday Roast Accompaniment,Lemon and Anise Churros,Client service associate
7,4,Tom,Gilliford,26,Rochdale,5,IN,West Yorkshire Fusion Puddings,Fennel Churros Snake In The Grass,Project engagement manager
7,4,Val,Stones,66,Yeovil,6,IN,Mum's Chilli Yorkshire Puddings,Orange Chocolate Churros,"Semi-retired, Substitute teacher"
7,5,Andrew,Smyth,25,"Derby / Holywood, County Down",6,IN,Mum and Dad's Breakfast Pastries,Spicy Chorizo Squash Parcels and Baklava Bites,Aerospace engineer
